target_substrate,k,subset_hash,subset,mode,best_beta,bnn_spearman,null_spearman,bnn_mae,null_mae,bnn_ndcg,null_ndcg,bnn_ndcg_overall,null_ndcg_overall,bnn_per_pos_top1,null_per_pos_top1,bnn_top3,null_top3,bnn_top5,null_top5,delta_spearman,delta_mae,n_rows
Acetaldehyde,2,0484e3,"4-Hydroxybutan-2-one,Acetone",nearest,0.0,0.8645271990103723,0.9467038174680409,0.39700658166089126,0.14184088197678618,0.9537273241978366,0.9825219736961202,0.9826210982211416,0.9888697788190719,0.5,0.8,0.6666666666666666,0.6666666666666666,0.6,0.4,-0.08217661845766855,-0.2551656996841051,200
Acetaldehyde,2,0484e3,"4-Hydroxybutan-2-one,Acetone",avg_all,0.0,0.833369565479454,0.9467038174680409,0.5153589452037082,0.5187887475458268,0.9471010339496315,0.9825219736961202,0.9740733467228037,0.9888697788190719,0.5,0.8,0.3333333333333333,0.6666666666666666,0.2,0.4,-0.11333425198858693,0.0034298023421186485,200
Acetaldehyde,2,0484e3,"4-Hydroxybutan-2-one,Acetone",distance_weighted,0.0,0.8378132731388382,0.9467038174680409,0.49904586338210544,0.4439710173574571,0.947604479896525,0.9825219736961202,0.975547179098825,0.9888697788190719,0.5,0.8,0.3333333333333333,0.6666666666666666,0.4,0.4,-0.10889054432920264,-0.05507484602464835,200
Acetaldehyde,2,ea208c,"4-Hydroxybutan-2-one,Formaldehyde",formaldehyde,0.0,0.8144702932744297,0.818221382742858,0.42135184581471763,0.4288104445609116,0.9487875438223468,0.9486645358743054,0.9571380881303793,0.9571513574030828,0.6,0.6,0.3333333333333333,0.3333333333333333,0.4,0.4,-0.0037510894684283924,0.0074585987461939784,198
Acetaldehyde,2,ea208c,"4-Hydroxybutan-2-one,Formaldehyde",nearest,0.0,0.786557870997574,0.8004887884155361,0.4376946399248658,0.43858192760120035,0.9485946540507207,0.9484716461026794,0.9558615227688866,0.9562258142512794,0.6,0.6,0.3333333333333333,0.3333333333333333,0.4,0.4,-0.013930917417962041,0.0008872876763345583,200
Acetaldehyde,2,ea208c,"4-Hydroxybutan-2-one,Formaldehyde",avg_all,0.0,0.786557870997574,0.7922350190568709,0.663435453783313,0.6577929131074757,0.9485946540507207,0.9484716461026794,0.9558615227688866,0.955920976358278,0.6,0.6,0.3333333333333333,0.3333333333333333,0.4,0.4,-0.005677148059296866,-0.00564254067583736,200
Acetaldehyde,2,ea208c,"4-Hydroxybutan-2-one,Formaldehyde",distance_weighted,0.0,0.786557870997574,0.7922350190568709,0.6572599742266597,0.6145789931201453,0.9485946540507207,0.9484716461026794,0.9558615227688866,0.955920976358278,0.6,0.6,0.3333333333333333,0.3333333333333333,0.4,0.4,-0.005677148059296866,-0.042680981106514415,200
Acetaldehyde,2,4b0849,"4-Hydroxybutan-2-one,Glycoaldehyde",nearest,0.0,0.5267820927308636,,0.6131227833512312,1.0331999211577063,0.934582484794924,0.7567668357655486,0.9533766553167926,0.7461198999370853,0.8,0.1,0.6666666666666666,0.0,0.6,0.0,,0.42007713780647515,200
Acetaldehyde,2,4b0849,"4-Hydroxybutan-2-one,Glycoaldehyde",avg_all,0.0,0.46162174622334295,0.6258325193456137,0.8054227747352062,0.814038699474681,0.9298693981051003,0.9489800640451513,0.9496854808378699,0.945031129316562,0.8,0.9,0.6666666666666666,0.6666666666666666,0.6,0.6,-0.16421077312227073,0.008615924739474812,200
Acetaldehyde,2,4b0849,"4-Hydroxybutan-2-one,Glycoaldehyde",distance_weighted,0.0,0.48387301754379475,0.6258325193456137,0.7907808438125827,0.8206217437056189,0.929307635881824,0.9489800640451513,0.9507074065285693,0.945031129316562,0.8,0.9,0.6666666666666666,0.6666666666666666,0.6,0.6,-0.14195950180181893,0.029840899893036177,200
