target_substrate,k,subset_hash,subset,mode,best_beta,bnn_spearman,null_spearman,bnn_mae,null_mae,bnn_ndcg,null_ndcg,bnn_ndcg_overall,null_ndcg_overall,bnn_per_pos_top1,null_per_pos_top1,bnn_top3,null_top3,bnn_top5,null_top5,delta_spearman,delta_mae,n_rows
Acetaldehyde,2,0484e3,"4-Hydroxybutan-2-one,Acetone",nearest,1.0,0.8632457690666088,0.9467038174680409,0.24899517153316522,0.14184088197678618,0.9511826436012321,0.9825219736961202,0.954876380190552,0.9888697788190719,0.4,0.8,0.0,0.6666666666666666,0.0,0.4,-0.08345804840143212,-0.10715428955637904,200
Acetaldehyde,2,0484e3,"4-Hydroxybutan-2-one,Acetone",avg_all,0.0,0.8910563089402359,0.9467038174680409,0.2847219524643166,0.5187887475458268,0.9584369094805016,0.9825219736961202,0.9696563651162389,0.9888697788190719,0.3,0.8,0.0,0.6666666666666666,0.0,0.4,-0.05564750852780498,0.23406679508151024,200
Acetaldehyde,2,0484e3,"4-Hydroxybutan-2-one,Acetone",distance_weighted,0.0,0.8926150467577563,0.9467038174680409,0.27777482738507986,0.4439710173574571,0.9605744588699187,0.9825219736961202,0.9703145526755798,0.9888697788190719,0.3,0.8,0.0,0.6666666666666666,0.0,0.4,-0.05408877071028462,0.16619618997237723,200
Acetaldehyde,2,ea208c,"4-Hydroxybutan-2-one,Formaldehyde",formaldehyde,0.0,0.8119592765912799,0.818221382742858,0.42841128533889844,0.4288104445609116,0.9349273643851379,0.9486645358743054,0.9468704744045557,0.9571513574030828,0.5,0.6,0.0,0.3333333333333333,0.0,0.4,-0.006262106151578184,0.0003991592220131679,198
Acetaldehyde,2,ea208c,"4-Hydroxybutan-2-one,Formaldehyde",nearest,1.0,0.8116484630461649,0.8004887884155361,0.4278933364038048,0.43858192760120035,0.9467074844189739,0.9484716461026794,0.9484338947811866,0.9562258142512794,0.5,0.6,0.0,0.3333333333333333,0.0,0.4,0.011159674630628835,0.01068859119739557,200
Acetaldehyde,2,ea208c,"4-Hydroxybutan-2-one,Formaldehyde",avg_all,0.0,0.8366396724685187,0.7922350190568709,0.4701001041058628,0.6577929131074757,0.9588016019023703,0.9484716461026794,0.9502881398699999,0.955920976358278,0.4,0.6,0.0,0.3333333333333333,0.0,0.4,0.04440465341164779,0.1876928090016129,200
Acetaldehyde,2,ea208c,"4-Hydroxybutan-2-one,Formaldehyde",distance_weighted,0.0,0.8364063758393109,0.7922350190568709,0.46421606820152045,0.6145789931201453,0.9565712985644786,0.9484716461026794,0.9502569002189384,0.955920976358278,0.4,0.6,0.0,0.3333333333333333,0.0,0.4,0.04417135678244,0.15036292491862485,200
Acetaldehyde,2,4b0849,"4-Hydroxybutan-2-one,Glycoaldehyde",nearest,1.0,0.6839624499546496,,0.7957472795827062,1.0331999211577063,0.9229196999594731,0.7567668357655486,0.9419021303719753,0.7461198999370853,0.3,0.1,0.0,0.0,0.0,0.0,,0.23745264157500012,200
Acetaldehyde,2,4b0849,"4-Hydroxybutan-2-one,Glycoaldehyde",avg_all,0.0,0.7109489386837531,0.6258325193456137,0.7242923534693562,0.814038699474681,0.9384585963606391,0.9489800640451513,0.9467052915479226,0.945031129316562,0.4,0.9,0.0,0.6666666666666666,0.0,0.6,0.0851164193381394,0.08974634600532483,200
Acetaldehyde,2,4b0849,"4-Hydroxybutan-2-one,Glycoaldehyde",distance_weighted,0.0,0.7122878240845963,0.6258325193456137,0.7264386780506884,0.8206217437056189,0.9393184143296844,0.9489800640451513,0.9468253688683803,0.945031129316562,0.4,0.9,0.0,0.6666666666666666,0.0,0.6,0.08645530473898266,0.09418306565493051,200
