target_substrate,k,subset_hash,subset,mode,best_beta,bnn_spearman,null_spearman,bnn_mae,null_mae,bnn_ndcg,null_ndcg,bnn_ndcg_overall,null_ndcg_overall,bnn_per_pos_top1,null_per_pos_top1,bnn_top3,null_top3,bnn_top5,null_top5,delta_spearman,delta_mae,n_rows
Acetaldehyde,2,0484e3,"4-Hydroxybutan-2-one,Acetone",nearest,1.0,0.8724107678323331,0.9467038174680409,0.25728028919723434,0.14184088197678618,0.9336334848546862,0.9825219736961202,0.9579167163024963,0.9888697788190719,0.2,0.8,0.0,0.6666666666666666,0.2,0.4,-0.07429304963570782,-0.11543940722044815,200
Acetaldehyde,2,0484e3,"4-Hydroxybutan-2-one,Acetone",avg_all,0.0,0.897242228376382,0.9467038174680409,0.26102352820070535,0.5187887475458268,0.9683025313974312,0.9825219736961202,0.967973740784406,0.9888697788190719,0.3,0.8,0.0,0.6666666666666666,0.0,0.4,-0.049461589091658875,0.2577652193451215,200
Acetaldehyde,2,0484e3,"4-Hydroxybutan-2-one,Acetone",distance_weighted,0.0,0.8991797766528532,0.9467038174680409,0.25795776160302947,0.4439710173574571,0.9573747140782766,0.9825219736961202,0.9685165757942807,0.9888697788190719,0.1,0.8,0.0,0.6666666666666666,0.0,0.4,-0.047524040815187685,0.18601325575442762,200
Acetaldehyde,2,ea208c,"4-Hydroxybutan-2-one,Formaldehyde",formaldehyde,0.0,0.775712801310002,0.818221382742858,0.4836171230562828,0.4288104445609116,0.9169952863219448,0.9486645358743054,0.9429019403954425,0.9571513574030828,0.2,0.6,0.3333333333333333,0.3333333333333333,0.4,0.4,-0.042508581432856074,-0.054806678495371186,198
Acetaldehyde,2,ea208c,"4-Hydroxybutan-2-one,Formaldehyde",nearest,1.0,0.7782055889582405,0.8004887884155361,0.48323551614401533,0.43858192760120035,0.9187032623822733,0.9484716461026794,0.9542670901397257,0.9562258142512794,0.2,0.6,0.3333333333333333,0.3333333333333333,0.4,0.4,-0.02228319945729551,-0.04465358854281498,200
Acetaldehyde,2,ea208c,"4-Hydroxybutan-2-one,Formaldehyde",avg_all,0.0,0.8186544794466785,0.7922350190568709,0.4865413394008195,0.6577929131074757,0.953176966978887,0.9484716461026794,0.9519298747495841,0.955920976358278,0.3,0.6,0.3333333333333333,0.3333333333333333,0.2,0.4,0.02641946038980758,0.17125157370665617,200
Acetaldehyde,2,ea208c,"4-Hydroxybutan-2-one,Formaldehyde",distance_weighted,0.0,0.8176770061120995,0.7922350190568709,0.485749021465385,0.6145789931201453,0.9534897635115733,0.9484716461026794,0.9543912210961408,0.955920976358278,0.3,0.6,0.3333333333333333,0.3333333333333333,0.2,0.4,0.0254419870552286,0.1288299716547603,200
Acetaldehyde,2,4b0849,"4-Hydroxybutan-2-one,Glycoaldehyde",nearest,1.0,0.7834100808796516,,0.7973296152577062,1.0331999211577063,0.9275376976511251,0.7567668357655486,0.9522721309011237,0.7461198999370853,0.3,0.1,0.0,0.0,0.0,0.0,,0.23587030590000013,200
Acetaldehyde,2,4b0849,"4-Hydroxybutan-2-one,Glycoaldehyde",avg_all,0.0,0.7985316566324703,0.6258325193456137,0.7361565157327061,0.814038699474681,0.9327521669456391,0.9489800640451513,0.9556310987194299,0.945031129316562,0.3,0.9,0.0,0.6666666666666666,0.0,0.6,0.1726991372868566,0.07788218374197486,200
Acetaldehyde,2,4b0849,"4-Hydroxybutan-2-one,Glycoaldehyde",distance_weighted,0.0,0.7991896322104393,0.6258325193456137,0.7379940003452927,0.8206217437056189,0.9329986791762763,0.9489800640451513,0.95582548046022,0.945031129316562,0.3,0.9,0.0,0.6666666666666666,0.0,0.6,0.17335711286482558,0.08262774336032619,200
Acetaldehyde,2,77e0d9,"4-Hydroxybutan-2-one,Glyoxylic acid",nearest,1.0,-0.24845062923785657,,1.0335349061577062,1.0331999211577063,0.7011978083649106,0.7567668357655486,0.7255827698547608,0.7461198999370853,0.0,0.1,0.0,0.0,0.0,0.0,,-0.0003349849999998433,200
Acetaldehyde,2,77e0d9,"4-Hydroxybutan-2-one,Glyoxylic acid",avg_all,0.0,-0.4423471824189363,,1.0340794614077062,1.0331999211577063,0.657045754099867,0.7567668357655486,0.6975589075742759,0.7461198999370853,0.0,0.1,0.0,0.0,0.0,0.0,,-0.0008795402499999216,200
Acetaldehyde,2,77e0d9,"4-Hydroxybutan-2-one,Glyoxylic acid",distance_weighted,0.0,-0.4404197491264993,,1.0340731045176543,1.0331999211577063,0.6542516661030942,0.7567668357655486,0.6977956731886453,0.7461198999370853,0.0,0.1,0.0,0.0,0.0,0.0,,-0.0008731833599480154,200
Acetaldehyde,2,cf831f,"4-Hydroxybutan-2-one,Methylglyoxal",nearest,1.0,-0.04517729911905895,,1.0345191766577062,1.0331999211577063,0.6909180952525997,0.7567668357655486,0.8092151920907387,0.7461198999370853,0.0,0.1,0.0,0.0,0.0,0.0,,-0.001319255499999894,200
Acetaldehyde,2,cf831f,"4-Hydroxybutan-2-one,Methylglyoxal",avg_all,0.0,-0.31642614946471637,,1.0341347064077062,1.0331999211577063,0.6485151078599358,0.7567668357655486,0.7383006085357584,0.7461198999370853,0.1,0.1,0.0,0.0,0.0,0.0,,-0.0009347852499999032,200
Acetaldehyde,2,cf831f,"4-Hydroxybutan-2-one,Methylglyoxal",distance_weighted,0.0,-0.3184040303787794,,1.034181835957497,1.0331999211577063,0.6522879503407824,0.7567668357655486,0.739780489549486,0.7461198999370853,0.1,0.1,0.0,0.0,0.0,0.0,,-0.0009819147997907063,200
Acetaldehyde,2,2f2851,"4-Hydroxybutan-2-one,Phenylacetaldehyde",nearest,1.0,0.8884552492335773,0.9766735501568035,0.31387688309242107,0.09503022202789356,0.9651886794631788,0.9742819119404075,0.963939158011873,0.9970509210023011,0.5,0.8,0.3333333333333333,1.0,0.4,0.8,-0.08821830092322613,-0.2188466610645275,200
Acetaldehyde,2,2f2851,"4-Hydroxybutan-2-one,Phenylacetaldehyde",avg_all,0.0,0.9038504542531957,0.9766735501568035,0.36262612331270616,0.5545177446869496,0.9607505572678445,0.9742819119404075,0.9644496266762352,0.9970509210023011,0.4,0.8,0.0,1.0,0.0,0.8,-0.0728230959036078,0.19189162137424343,200
Acetaldehyde,2,2f2851,"4-Hydroxybutan-2-one,Phenylacetaldehyde",distance_weighted,0.0,0.9041209201758704,0.9766735501568035,0.3619169890849892,0.5477717714575414,0.9607674152970936,0.9742819119404075,0.9645296309002603,0.9970509210023011,0.4,0.8,0.0,1.0,0.0,0.8,-0.07255262998093304,0.1858547823725522,200
Acetaldehyde,2,66d863,"4-Hydroxybutan-2-one,Pyruvate",nearest,1.0,-0.10972217264251785,0.21127758033436894,0.9849436316401062,0.9850082643177381,0.7866924852723438,0.8311840645926104,0.82780030111326,0.8350330441130485,0.3,0.4,0.6666666666666666,0.6666666666666666,0.4,0.4,-0.32099975297688677,6.463267763190395e-05,200
Acetaldehyde,2,66d863,"4-Hydroxybutan-2-one,Pyruvate",avg_all,0.0,-0.1380459651004021,0.21127758033436894,1.0029013843377061,1.0037211950687057,0.7742292503841888,0.8311840645926104,0.8368447994050952,0.8350330441130485,0.3,0.4,0.6666666666666666,0.6666666666666666,0.4,0.4,-0.34932354543477107,0.0008198107309995706,200
Acetaldehyde,2,66d863,"4-Hydroxybutan-2-one,Pyruvate",distance_weighted,0.0,-0.1394109480902753,0.21127758033436894,1.0012836726345575,1.0020429501501207,0.7733393350783642,0.8311840645926104,0.8368468431949759,0.8350330441130485,0.3,0.4,0.6666666666666666,0.6666666666666666,0.4,0.4,-0.35068852842464426,0.0007592775155631504,200
