target_substrate,k,subset_hash,subset,mode,best_beta,bnn_spearman,null_spearman,bnn_mae,null_mae,bnn_ndcg,null_ndcg,bnn_ndcg_overall,null_ndcg_overall,bnn_per_pos_top1,null_per_pos_top1,bnn_top3,null_top3,bnn_top5,null_top5,delta_spearman,delta_mae,n_rows
Acetaldehyde,2,0484e3,"4-Hydroxybutan-2-one,Acetone",nearest,0.5,0.8926055567253818,0.9467038174680409,0.2367950849210567,0.14184088197678618,0.9816428157091369,0.9825219736961202,0.9869801595225303,0.9888697788190719,0.8,0.8,0.6666666666666666,0.6666666666666666,0.4,0.4,-0.05409826074265911,-0.09495420294427051,200
Acetaldehyde,2,0484e3,"4-Hydroxybutan-2-one,Acetone",avg_all,0.5,0.9044475354567613,0.9467038174680409,0.5954589125214562,0.5187887475458268,0.9821196412714521,0.9825219736961202,0.9885165530738346,0.9888697788190719,0.8,0.8,0.6666666666666666,0.6666666666666666,0.6,0.4,-0.04225628201127962,-0.0766701649756294,200
Acetaldehyde,2,0484e3,"4-Hydroxybutan-2-one,Acetone",distance_weighted,0.5,0.9043700335257023,0.9467038174680409,0.5887811679939101,0.4439710173574571,0.9823051004958762,0.9825219736961202,0.9886102177713617,0.9888697788190719,0.8,0.8,0.6666666666666666,0.6666666666666666,0.6,0.4,-0.042333783942338554,-0.14481015063645303,200
Acetaldehyde,2,ea208c,"4-Hydroxybutan-2-one,Formaldehyde",formaldehyde,1.5,0.8094462670022787,0.818221382742858,0.4167489258068286,0.4288104445609116,0.9457727675296843,0.9486645358743054,0.9616159420088185,0.9571513574030828,0.5,0.6,0.6666666666666666,0.3333333333333333,0.4,0.4,-0.00877511574057932,0.012061518754083012,198
Acetaldehyde,2,ea208c,"4-Hydroxybutan-2-one,Formaldehyde",nearest,0.5,0.8028709739357347,0.8004887884155361,0.4199674671170556,0.43858192760120035,0.9448663872217773,0.9484716461026794,0.9580615954600538,0.9562258142512794,0.5,0.6,0.3333333333333333,0.3333333333333333,0.4,0.4,0.002382185520198643,0.018614460484144724,200
Acetaldehyde,2,ea208c,"4-Hydroxybutan-2-one,Formaldehyde",avg_all,0.5,0.8284505653653107,0.7922350190568709,0.6471822995613831,0.6577929131074757,0.9493266264985614,0.9484716461026794,0.9594576650749889,0.955920976358278,0.6,0.6,0.3333333333333333,0.3333333333333333,0.2,0.4,0.03621554630843982,0.010610613546092607,200
Acetaldehyde,2,ea208c,"4-Hydroxybutan-2-one,Formaldehyde",distance_weighted,0.5,0.8171115583497824,0.7922350190568709,0.5473330591578258,0.6145789931201453,0.9443226949962595,0.9484716461026794,0.9596960803995882,0.955920976358278,0.5,0.6,0.3333333333333333,0.3333333333333333,0.2,0.4,0.02487653929291156,0.06724593396231948,200
Acetaldehyde,2,4b0849,"4-Hydroxybutan-2-one,Glycoaldehyde",nearest,0.5,0.1334148293016203,,1.0016081056577062,1.0331999211577063,0.7116737401737134,0.7567668357655486,0.8268042349958632,0.7461198999370853,0.1,0.1,0.3333333333333333,0.0,0.2,0.0,,0.03159181550000012,200
Acetaldehyde,2,4b0849,"4-Hydroxybutan-2-one,Glycoaldehyde",avg_all,0.5,0.410144173343582,0.6258325193456137,0.8234837435952062,0.814038699474681,0.9319406169161955,0.9489800640451513,0.9468762651521375,0.945031129316562,0.9,0.9,1.0,0.6666666666666666,0.6,0.6,-0.21568834600203168,-0.009445044120525159,200
Acetaldehyde,2,4b0849,"4-Hydroxybutan-2-one,Glycoaldehyde",distance_weighted,0.5,0.41184367997465815,0.6258325193456137,0.8255702120789294,0.8206217437056189,0.9314554570036275,0.9489800640451513,0.9469748145163346,0.945031129316562,0.9,0.9,1.0,0.6666666666666666,0.6,0.6,-0.21398883937095553,-0.004948468373310533,200
Acetaldehyde,2,77e0d9,"4-Hydroxybutan-2-one,Glyoxylic acid",nearest,0.5,-0.022891539759483947,,1.031302642657706,1.0331999211577063,0.6323233230972627,0.7567668357655486,0.7702786717096385,0.7461198999370853,0.0,0.1,0.0,0.0,0.0,0.0,,0.0018972785000002101,200
Acetaldehyde,2,77e0d9,"4-Hydroxybutan-2-one,Glyoxylic acid",avg_all,0.5,-0.013597634720671837,,1.0306828159077062,1.0331999211577063,0.6166003660793613,0.7567668357655486,0.7662010042783749,0.7461198999370853,0.1,0.1,0.0,0.0,0.0,0.0,,0.002517105250000151,200
Acetaldehyde,2,77e0d9,"4-Hydroxybutan-2-one,Glyoxylic acid",distance_weighted,0.5,-0.013819859645442616,,1.0306864779162037,1.0331999211577063,0.6163196457836545,0.7567668357655486,0.7654161185717405,0.7461198999370853,0.1,0.1,0.0,0.0,0.0,0.0,,0.0025134432415026,200
Acetaldehyde,2,cf831f,"4-Hydroxybutan-2-one,Methylglyoxal",nearest,0.5,0.19749706374681977,,1.0231435501577062,1.0331999211577063,0.6703193162640801,0.7567668357655486,0.836592317899855,0.7461198999370853,0.1,0.1,0.0,0.0,0.0,0.0,,0.01005637100000012,200
Acetaldehyde,2,cf831f,"4-Hydroxybutan-2-one,Methylglyoxal",avg_all,0.5,0.277938532333686,,1.0232539014077062,1.0331999211577063,0.6547468729851899,0.7567668357655486,0.8719834756479389,0.7461198999370853,0.1,0.1,0.0,0.0,0.0,0.0,,0.00994601975000009,200
Acetaldehyde,2,cf831f,"4-Hydroxybutan-2-one,Methylglyoxal",distance_weighted,0.5,0.27892470486460824,,1.0232516582057765,1.0331999211577063,0.6560956897257949,0.7567668357655486,0.8721477099644273,0.7461198999370853,0.1,0.1,0.0,0.0,0.0,0.0,,0.009948262951929854,200
