endpoint,mode,metric,sigma,beta,bnn,null,delta
spearman_rho,formaldehyde,per_position_top5_recovery_mean,epi_only,0.0,0.52,0.524,-0.0040000000000000036
spearman_rho,nearest,per_position_top5_recovery_mean,total,0.0,0.5566666666666668,0.7133333333333334,-0.15666666666666662
spearman_rho,nearest,per_position_top5_recovery_mean,epi_ale,1.0,0.54,0.7133333333333334,-0.17333333333333334
spearman_rho,nearest,per_position_top5_recovery_mean,epi_only,0.0,0.6166666666666667,0.7133333333333334,-0.09666666666666668
spearman_rho,avg_all,per_position_top5_recovery_mean,total,2.0,0.5233333333333333,0.6133333333333332,-0.08999999999999986
spearman_rho,avg_all,per_position_top5_recovery_mean,epi_ale,0.0,0.5266666666666667,0.6133333333333332,-0.08666666666666645
spearman_rho,avg_all,per_position_top5_recovery_mean,epi_only,1.0,0.5933333333333334,0.6133333333333332,-0.019999999999999796
spearman_rho,distance_weighted,per_position_top5_recovery_mean,total,2.0,0.5199999999999999,0.61,-0.09000000000000008
spearman_rho,distance_weighted,per_position_top5_recovery_mean,epi_ale,0.0,0.52,0.61,-0.08999999999999997
spearman_rho,distance_weighted,per_position_top5_recovery_mean,epi_only,0.5,0.5933333333333334,0.61,-0.016666666666666607
top3_recovery,formaldehyde,spearman_rho,total,1.0,0.6267131157273641,0.6268784620088229,-0.00016534628145881136
top3_recovery,formaldehyde,spearman_rho,epi_ale,1.5,0.6203485330036039,0.6268784620088229,-0.006529929005218982
top3_recovery,formaldehyde,spearman_rho,epi_only,0.5,0.6156990331640103,0.6268784620088229,-0.0111794288448126
top3_recovery,nearest,spearman_rho,total,1.0,0.6667227246729798,0.8213062697459093,-0.15458354507292948
top3_recovery,nearest,spearman_rho,epi_ale,0.0,0.39892077479528476,0.8213062697459093,-0.4223854949506245
top3_recovery,nearest,spearman_rho,epi_only,0.0,0.33598829208251096,0.8213062697459093,-0.4853179776633983
top3_recovery,avg_all,spearman_rho,total,1.0,0.7161354243032302,0.7195696213082767,-0.0034341970050465465
top3_recovery,avg_all,spearman_rho,epi_ale,0.0,0.7140388588992038,0.7195696213082767,-0.005530762409072909
top3_recovery,avg_all,spearman_rho,epi_only,0.0,0.7135544564395278,0.7195696213082767,-0.006015164868748979
top3_recovery,distance_weighted,spearman_rho,total,1.5,0.7129584980118134,0.7198627979264548,-0.006904299914641365
top3_recovery,distance_weighted,spearman_rho,epi_ale,1.5,0.7049375413190649,0.7198627979264548,-0.014925256607389858
